

--- Server Started at 2024-04-27T19:38:59.143Z ---
2024-04-27T19:39:00.161Z - Humidity: 60%, Temperature: 25C, Analog output: 725
2024-04-27T19:39:10.202Z - Humidity: 60%, Temperature: 24C, Analog output: 722
2024-04-27T19:39:20.244Z - Humidity: 61%, Temperature: 25C, Analog output: 742
2024-04-27T19:39:30.282Z - Humidity: 60%, Temperature: 24C, Analog output: 722
2024-04-27T19:39:40.319Z - Humidity: 60%, Temperature: 25C, Analog output: 728
2024-04-27T19:39:50.358Z - Humidity: 61%, Temperature: 24C, Analog output: 720
2024-04-27T19:40:00.397Z - Humidity: 61%, Temperature: 24C, Analog output: 758
2024-04-27T19:40:10.436Z - Humidity: 62%, Temperature: 24C, Analog output: 705
2024-04-27T19:40:20.474Z - Humidity: 61%, Temperature: 23C, Analog output: 714
2024-04-27T19:40:30.517Z - Humidity: 62%, Temperature: 24C, Analog output: 731
2024-04-27T19:40:40.555Z - Humidity: 61%, Temperature: 24C, Analog output: 725
2024-04-27T19:40:50.594Z - Humidity: 62%, Temperature: 24C, Analog output: 715
2024-04-27T19:41:00.633Z - Humidity: 61%, Temperature: 24C, Analog output: 723
2024-04-27T19:41:10.671Z - Humidity: 61%, Temperature: 24C, Analog output: 716
2024-04-27T19:41:20.710Z - Humidity: 61%, Temperature: 25C, Analog output: 724
2024-04-27T19:41:30.748Z - Humidity: 62%, Temperature: 25C, Analog output: 717
2024-04-27T19:41:40.787Z - Humidity: 61%, Temperature: 24C, Analog output: 721
2024-04-27T19:41:50.830Z - Humidity: 62%, Temperature: 24C, Analog output: 716
2024-04-27T19:42:00.868Z - Humidity: 61%, Temperature: 24C, Analog output: 716
2024-04-27T19:42:10.907Z - Humidity: 61%, Temperature: 24C, Analog output: 717
2024-04-27T19:42:20.945Z - Humidity: 60%, Temperature: 23C, Analog output: 741
2024-04-27T19:42:30.984Z - Humidity: 61%, Temperature: 25C, Analog output: 751
2024-04-27T19:42:41.023Z - Humidity: 60%, Temperature: 25C, Analog output: 720
2024-04-27T19:42:51.061Z - Humidity: 62%, Temperature: 24C, Analog output: 718
2024-04-27T19:43:01.100Z - Humidity: 61%, Temperature: 25C, Analog output: 721
2024-04-27T19:43:11.142Z - Humidity: 62%, Temperature: 25C, Analog output: 721
2024-04-27T19:43:21.181Z - Humidity: 62%, Temperature: 24C, Analog output: 722
2024-04-27T19:43:31.219Z - Humidity: 61%, Temperature: 24C, Analog output: 720
2024-04-27T19:43:41.258Z - Humidity: 62%, Temperature: 23C, Analog output: 721
2024-04-27T19:43:51.296Z - Humidity: 61%, Temperature: 24C, Analog output: 736
2024-04-27T19:44:01.335Z - Humidity: 62%, Temperature: 25C, Analog output: 733
2024-04-27T19:44:11.374Z - Humidity: 61%, Temperature: 25C, Analog output: 722
2024-04-27T19:44:21.416Z - Humidity: 62%, Temperature: 23C, Analog output: 721
2024-04-27T19:44:31.455Z - Humidity: 61%, Temperature: 25C, Analog output: 720
2024-04-27T19:44:41.493Z - Humidity: 61%, Temperature: 23C, Analog output: 721
2024-04-27T19:44:51.532Z - Humidity: 61%, Temperature: 24C, Analog output: 729
2024-04-27T19:45:01.571Z - Humidity: 61%, Temperature: 24C, Analog output: 721
2024-04-27T19:45:11.611Z - Humidity: 63%, Temperature: 24C, Analog output: 718
2024-04-27T19:45:21.649Z - Humidity: 61%, Temperature: 23C, Analog output: 720
2024-04-27T19:45:31.691Z - Humidity: 62%, Temperature: 25C, Analog output: 720
2024-04-27T19:45:41.729Z - Humidity: 61%, Temperature: 23C, Analog output: 722
2024-04-27T19:45:51.768Z - Humidity: 60%, Temperature: 24C, Analog output: 734
2024-04-27T19:46:01.808Z - Humidity: 61%, Temperature: 24C, Analog output: 729
2024-04-27T19:46:11.847Z - Humidity: 60%, Temperature: 23C, Analog output: 741
2024-04-27T19:46:21.884Z - Humidity: 62%, Temperature: 24C, Analog output: 741
2024-04-27T19:46:31.923Z - Humidity: 61%, Temperature: 23C, Analog output: 722
2024-04-27T19:46:41.965Z - Humidity: 61%, Temperature: 25C, Analog output: 722
2024-04-27T19:46:52.004Z - Humidity: 61%, Temperature: 24C, Analog output: 726
2024-04-27T19:47:02.043Z - Humidity: 62%, Temperature: 25C, Analog output: 723
2024-04-27T19:47:12.082Z - Humidity: 62%, Temperature: 24C, Analog output: 721
2024-04-27T19:47:22.120Z - Humidity: 62%, Temperature: 24C, Analog output: 754
2024-04-27T19:47:32.159Z - Humidity: 65%, Temperature: 24C, Analog output: 729
2024-04-27T19:47:42.197Z - Humidity: 63%, Temperature: 25C, Analog output: 732
2024-04-27T19:47:52.236Z - Humidity: 63%, Temperature: 24C, Analog output: 743
2024-04-27T19:48:02.279Z - Humidity: 63%, Temperature: 25C, Analog output: 720
2024-04-27T19:48:12.318Z - Humidity: 63%, Temperature: 24C, Analog output: 683
2024-04-27T19:48:22.355Z - Humidity: 62%, Temperature: 24C, Analog output: 748
2024-04-27T19:48:32.395Z - Humidity: 63%, Temperature: 25C, Analog output: 765
2024-04-27T19:48:42.433Z - Humidity: 62%, Temperature: 24C, Analog output: 724
2024-04-27T19:48:52.471Z - Humidity: 62%, Temperature: 24C, Analog output: 723
2024-04-27T19:49:02.510Z - Humidity: 63%, Temperature: 25C, Analog output: 726
2024-04-27T19:49:12.548Z - Humidity: 64%, Temperature: 25C, Analog output: 724
2024-04-27T19:49:22.591Z - Humidity: 62%, Temperature: 23C, Analog output: 740
2024-04-27T19:49:32.629Z - Humidity: 62%, Temperature: 25C, Analog output: 746
2024-04-27T19:49:42.669Z - Humidity: 63%, Temperature: 25C, Analog output: 739
2024-04-27T19:49:52.707Z - Humidity: 62%, Temperature: 24C, Analog output: 762
2024-04-27T19:50:02.746Z - Humidity: 63%, Temperature: 25C, Analog output: 765
2024-04-27T19:50:12.785Z - Humidity: 63%, Temperature: 24C, Analog output: 725
2024-04-27T19:50:22.824Z - Humidity: 63%, Temperature: 24C, Analog output: 723
2024-04-27T19:50:32.866Z - Humidity: 63%, Temperature: 23C, Analog output: 723
2024-04-27T19:50:42.904Z - Humidity: 65%, Temperature: 24C, Analog output: 728
2024-04-27T19:50:52.943Z - Humidity: 65%, Temperature: 23C, Analog output: 731
2024-04-27T19:51:02.980Z - Humidity: 63%, Temperature: 23C, Analog output: 724
2024-04-27T19:51:13.019Z - Humidity: 63%, Temperature: 23C, Analog output: 752
2024-04-27T19:51:23.058Z - Humidity: 62%, Temperature: 24C, Analog output: 727
2024-04-27T19:51:33.096Z - Humidity: 63%, Temperature: 24C, Analog output: 725
2024-04-27T19:51:43.139Z - Humidity: 64%, Temperature: 24C, Analog output: 725
2024-04-27T19:51:53.177Z - Humidity: 63%, Temperature: 23C, Analog output: 725
2024-04-27T19:52:03.216Z - Humidity: 64%, Temperature: 24C, Analog output: 725
2024-04-27T19:52:13.255Z - Humidity: 63%, Temperature: 23C, Analog output: 724
2024-04-27T19:52:23.293Z - Humidity: 63%, Temperature: 25C, Analog output: 757
2024-04-27T19:52:33.332Z - Humidity: 63%, Temperature: 23C, Analog output: 721
2024-04-27T19:52:43.371Z - Humidity: 62%, Temperature: 23C, Analog output: 727
2024-04-27T19:52:53.413Z - Humidity: 64%, Temperature: 25C, Analog output: 737
2024-04-27T19:53:03.453Z - Humidity: 62%, Temperature: 23C, Analog output: 729
2024-04-27T19:53:13.491Z - Humidity: 63%, Temperature: 24C, Analog output: 733
2024-04-27T19:53:23.530Z - Humidity: 63%, Temperature: 24C, Analog output: 726
2024-04-27T19:53:33.568Z - Humidity: 63%, Temperature: 25C, Analog output: 741
2024-04-27T19:53:43.607Z - Humidity: 62%, Temperature: 24C, Analog output: 762
2024-04-27T19:53:53.646Z - Humidity: 62%, Temperature: 24C, Analog output: 727
2024-04-27T19:54:03.688Z - Humidity: 63%, Temperature: 24C, Analog output: 734
2024-04-27T19:54:13.726Z - Humidity: 62%, Temperature: 25C, Analog output: 733
2024-04-27T19:54:23.765Z - Humidity: 63%, Temperature: 25C, Analog output: 743
2024-04-27T19:54:33.804Z - Humidity: 63%, Temperature: 23C, Analog output: 723
2024-04-27T19:54:43.842Z - Humidity: 63%, Temperature: 25C, Analog output: 725
2024-04-27T19:54:53.881Z - Humidity: 62%, Temperature: 24C, Analog output: 726
2024-04-27T19:55:03.920Z - Humidity: 62%, Temperature: 24C, Analog output: 728
2024-04-27T19:55:13.958Z - Humidity: 63%, Temperature: 24C, Analog output: 730
2024-04-27T19:55:24.001Z - Humidity: 62%, Temperature: 23C, Analog output: 736
2024-04-27T19:55:34.040Z - Humidity: 62%, Temperature: 25C, Analog output: 727
2024-04-27T19:55:44.078Z - Humidity: 64%, Temperature: 24C, Analog output: 752
2024-04-27T19:55:54.117Z - Humidity: 64%, Temperature: 24C, Analog output: 726
2024-04-27T19:56:04.155Z - Humidity: 63%, Temperature: 24C, Analog output: 739
2024-04-27T19:56:14.194Z - Humidity: 64%, Temperature: 24C, Analog output: 768
2024-04-27T19:56:24.232Z - Humidity: 62%, Temperature: 23C, Analog output: 732
2024-04-27T19:56:34.275Z - Humidity: 63%, Temperature: 24C, Analog output: 749
2024-04-27T19:56:44.314Z - Humidity: 63%, Temperature: 24C, Analog output: 726
2024-04-27T19:56:54.352Z - Humidity: 62%, Temperature: 24C, Analog output: 730
2024-04-27T19:57:04.391Z - Humidity: 63%, Temperature: 25C, Analog output: 758
2024-04-27T19:57:14.429Z - Humidity: 63%, Temperature: 24C, Analog output: 730
2024-04-27T19:57:24.468Z - Humidity: 64%, Temperature: 24C, Analog output: 728
2024-04-27T19:57:34.506Z - Humidity: 63%, Temperature: 24C, Analog output: 737
2024-04-27T19:57:44.545Z - Humidity: 64%, Temperature: 24C, Analog output: 731
2024-04-27T19:57:54.588Z - Humidity: 63%, Temperature: 25C, Analog output: 726
2024-04-27T19:58:04.626Z - Humidity: 63%, Temperature: 23C, Analog output: 727
2024-04-27T19:58:14.665Z - Humidity: 64%, Temperature: 24C, Analog output: 733
2024-04-27T19:58:24.704Z - Humidity: 64%, Temperature: 25C, Analog output: 727
2024-04-27T19:58:34.742Z - Humidity: 64%, Temperature: 24C, Analog output: 745
2024-04-27T19:58:44.781Z - Humidity: 64%, Temperature: 25C, Analog output: 731
2024-04-27T19:58:54.819Z - Humidity: 64%, Temperature: 25C, Analog output: 726
2024-04-27T19:59:04.858Z - Humidity: 63%, Temperature: 25C, Analog output: 782
2024-04-27T19:59:14.896Z - Humidity: 65%, Temperature: 23C, Analog output: 727
2024-04-27T19:59:24.935Z - Humidity: 63%, Temperature: 24C, Analog output: 765
2024-04-27T19:59:34.978Z - Humidity: 63%, Temperature: 23C, Analog output: 764
2024-04-27T19:59:45.016Z - Humidity: 62%, Temperature: 25C, Analog output: 727
2024-04-27T19:59:55.055Z - Humidity: 63%, Temperature: 24C, Analog output: 727
2024-04-27T20:00:05.094Z - Humidity: 63%, Temperature: 24C, Analog output: 727
2024-04-27T20:00:15.133Z - Humidity: 63%, Temperature: 24C, Analog output: 753
