2024-04-27T19:38:01.620Z - Humidity: 60%, Temperature: 24C, Analog output: 723
2024-04-27T19:38:11.655Z - Humidity: 60%, Temperature: 24C, Analog output: 761
2024-04-27T19:38:21.694Z - Humidity: 60%, Temperature: 24C, Analog output: 721
2024-04-27T19:38:31.733Z - Humidity: 61%, Temperature: 25C, Analog output: 719


--- Server Started at 2024-04-27T19:38:34.632Z ---
2024-04-27T19:38:35.655Z - Humidity: 61%, Temperature: 25C, Analog output: 728


--- Server Started at 2024-04-27T19:38:38.417Z ---
2024-04-27T19:38:39.437Z - Humidity: 61%, Temperature: 25C, Analog output: 730


--- Server Started at 2024-04-27T19:38:59.143Z ---
2024-04-27T19:39:00.161Z - Humidity: 60%, Temperature: 25C, Analog output: 725
2024-04-27T19:39:10.202Z - Humidity: 60%, Temperature: 24C, Analog output: 722
2024-04-27T19:39:20.244Z - Humidity: 61%, Temperature: 25C, Analog output: 742
2024-04-27T19:39:30.282Z - Humidity: 60%, Temperature: 24C, Analog output: 722
2024-04-27T19:39:40.319Z - Humidity: 60%, Temperature: 25C, Analog output: 728
2024-04-27T19:39:50.358Z - Humidity: 61%, Temperature: 24C, Analog output: 720
2024-04-27T19:40:00.397Z - Humidity: 61%, Temperature: 24C, Analog output: 758
2024-04-27T19:40:10.436Z - Humidity: 62%, Temperature: 24C, Analog output: 705
2024-04-27T19:40:20.474Z - Humidity: 61%, Temperature: 23C, Analog output: 714
2024-04-27T19:40:30.517Z - Humidity: 62%, Temperature: 24C, Analog output: 731
2024-04-27T19:40:40.555Z - Humidity: 61%, Temperature: 24C, Analog output: 725
2024-04-27T19:40:50.594Z - Humidity: 62%, Temperature: 24C, Analog output: 715
2024-04-27T19:41:00.633Z - Humidity: 61%, Temperature: 24C, Analog output: 723
2024-04-27T19:41:10.671Z - Humidity: 61%, Temperature: 24C, Analog output: 716
2024-04-27T19:41:20.710Z - Humidity: 61%, Temperature: 25C, Analog output: 724
2024-04-27T19:41:30.748Z - Humidity: 62%, Temperature: 25C, Analog output: 717
2024-04-27T19:41:40.787Z - Humidity: 61%, Temperature: 24C, Analog output: 721
2024-04-27T19:41:50.830Z - Humidity: 62%, Temperature: 24C, Analog output: 716
2024-04-27T19:42:00.868Z - Humidity: 61%, Temperature: 24C, Analog output: 716
2024-04-27T19:42:10.907Z - Humidity: 61%, Temperature: 24C, Analog output: 717
2024-04-27T19:42:20.945Z - Humidity: 60%, Temperature: 23C, Analog output: 741
2024-04-27T19:42:30.984Z - Humidity: 61%, Temperature: 25C, Analog output: 751
2024-04-27T19:42:41.023Z - Humidity: 60%, Temperature: 25C, Analog output: 720
2024-04-27T19:42:51.061Z - Humidity: 62%, Temperature: 24C, Analog output: 718
2024-04-27T19:43:01.100Z - Humidity: 61%, Temperature: 25C, Analog output: 721
2024-04-27T19:43:11.142Z - Humidity: 62%, Temperature: 25C, Analog output: 721
2024-04-27T19:43:21.181Z - Humidity: 62%, Temperature: 24C, Analog output: 722


--- Server Started at 2024-04-28T07:19:51.377Z ---
2024-04-28T07:19:52.398Z - Humidity: 94%, Temperature: 21C, Analog output: 871
2024-04-28T07:20:02.436Z - Humidity: 94%, Temperature: 21C, Analog output: 857
2024-04-28T07:20:12.474Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T07:20:22.513Z - Humidity: 94%, Temperature: 21C, Analog output: 860
2024-04-28T07:20:32.555Z - Humidity: 94%, Temperature: 21C, Analog output: 865
2024-04-28T07:20:42.594Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T07:20:52.633Z - Humidity: 93%, Temperature: 20C, Analog output: 888
2024-04-28T07:21:02.673Z - Humidity: 94%, Temperature: 21C, Analog output: 887
2024-04-28T07:21:12.710Z - Humidity: 94%, Temperature: 21C, Analog output: 884
2024-04-28T07:21:22.753Z - Humidity: 94%, Temperature: 21C, Analog output: 853
2024-04-28T07:21:32.791Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T07:21:42.830Z - Humidity: 93%, Temperature: 20C, Analog output: 847
2024-04-28T07:21:52.868Z - Humidity: 93%, Temperature: 20C, Analog output: 854
2024-04-28T07:22:02.907Z - Humidity: 94%, Temperature: 21C, Analog output: 865
2024-04-28T07:22:12.945Z - Humidity: 93%, Temperature: 20C, Analog output: 882
2024-04-28T07:22:22.984Z - Humidity: 93%, Temperature: 20C, Analog output: 851
2024-04-28T07:22:33.026Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:22:43.065Z - Humidity: 94%, Temperature: 21C, Analog output: 853
2024-04-28T07:22:53.104Z - Humidity: 94%, Temperature: 21C, Analog output: 848
2024-04-28T07:23:03.142Z - Humidity: 93%, Temperature: 20C, Analog output: 855
2024-04-28T07:23:13.181Z - Humidity: 93%, Temperature: 20C, Analog output: 848
2024-04-28T07:23:23.220Z - Humidity: 94%, Temperature: 21C, Analog output: 876
2024-04-28T07:23:33.262Z - Humidity: 94%, Temperature: 21C, Analog output: 895
2024-04-28T07:23:43.301Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:23:53.339Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:24:03.378Z - Humidity: 95%, Temperature: 22C, Analog output: 858
2024-04-28T07:24:13.416Z - Humidity: 93%, Temperature: 20C, Analog output: 866
2024-04-28T07:24:23.455Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:24:33.493Z - Humidity: 94%, Temperature: 21C, Analog output: 860
2024-04-28T07:24:43.536Z - Humidity: 93%, Temperature: 20C, Analog output: 851
2024-04-28T07:24:53.576Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T07:25:03.614Z - Humidity: 93%, Temperature: 20C, Analog output: 865
2024-04-28T07:25:13.653Z - Humidity: 94%, Temperature: 21C, Analog output: 853
2024-04-28T07:25:23.692Z - Humidity: 94%, Temperature: 21C, Analog output: 854
2024-04-28T07:25:33.731Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T07:25:43.770Z - Humidity: 95%, Temperature: 22C, Analog output: 854
2024-04-28T07:25:53.811Z - Humidity: 93%, Temperature: 20C, Analog output: 851
2024-04-28T07:26:03.850Z - Humidity: 93%, Temperature: 20C, Analog output: 856


--- Server Started at 2024-04-28T07:26:06.429Z ---
2024-04-28T07:26:07.451Z - Humidity: 93%, Temperature: 20C, Analog output: 891
2024-04-28T07:26:17.489Z - Humidity: 93%, Temperature: 20C, Analog output: 857
2024-04-28T07:26:27.527Z - Humidity: 95%, Temperature: 22C, Analog output: 859
2024-04-28T07:26:37.566Z - Humidity: 93%, Temperature: 20C, Analog output: 873
2024-04-28T07:26:47.604Z - Humidity: 95%, Temperature: 22C, Analog output: 859
2024-04-28T07:26:57.643Z - Humidity: 93%, Temperature: 20C, Analog output: 853
2024-04-28T07:27:07.682Z - Humidity: 94%, Temperature: 21C, Analog output: 856
2024-04-28T07:27:17.724Z - Humidity: 93%, Temperature: 20C, Analog output: 858
